activity,employment,output
FIRE_fnin_off,150334,31902799194
INFO_info_off_li,9848,15239006202
ENGY_elec_hi,5131,8621276855
GOV_admn_gov,101916,19036836853
HOSP_acc_acc,35825,3539955230
HLTH_hosp_hosp,88618,12295007812
RES_agmin_ag,98434,16903898303
ENGY_ptrl_hi,8672,4631318359
RET_stor_off,56858,0
SERV_stor_ret,80595,5164732788
RES_forst_log,8356,2519144897
RET_nstor_off,46075,2193797363
ENGY_offc_off,24548,0
RET_stor_ret,229125,16026845092
MFG_hvtw_li,23038,14441531006
GOV_offc_off,162605,0
RET_auto_ret,99235,7439574272
MFG_htec_hi,3634,13063887807
SERV_home_xxx,54899,456867797
MFG_hvtw_hi,22842,14441531006
HLTH_othr_off_li,150943,18144155090
ENGY_ngas_hi,880,3603145996
ENT_ent_ret,79100,3571715370
MFG_lvtw_hi,11756,12978764067
MFG_htec_li,3335,13063887807
UTL_othr_off,14870,0
HIED_hied_off_inst,80247,4569757377
CNST_offc_off,72450,0
FIRE_real_off,139465,15446998046
HLTH_care_inst,68190,3849533203
CNST_othr_xxx,49796,8729001953
SERV_nonp_off_inst,132924,9376816406
UTL_othr_off_li,17928,8378148941
TRNS_trns_ware,66544,14723200435
SERV_bus_off,172808,14387504547
MFG_offc_off,147103,0
SERV_tech_off,219305,22817588607
CNST_res_xxx,27477,6740919189
K12_k12_k12,167668,12626084053
WHSL_offc_off,27646,0
CNST_main_xxx,22876,3690346435
K12_k12_off,57305,0
RES_offc_off,62525,0
TRNS_trns_off,45284,0
HOSP_eat_ret_acc,219159,12374280273
MFG_food_li,15124,10829728776
INFO_info_off,48211,0
MFG_wdppr_hi,25917,11847955596
SERV_site_li,66752,5828886779
WHSL_whsl_ware,86026,19829592529
MFG_food_hi,14999,10829728776
CNST_nres_xxx,40908,6542617309
